id,date,user,pc,to,cc,bcc,from,size,attachments,content
E0001,2010-01-04 14:21:00,DEMO001,PC-001,demo002@dtaa.com,,,demo001@dtaa.com,25000,0,weekly status update
E0002,2010-01-05 14:22:00,DEMO001,PC-001,demo002@dtaa.com,,,demo001@dtaa.com,25000,0,weekly status update
E0003,2010-01-06 14:23:00,DEMO001,PC-001,demo002@dtaa.com,,,demo001@dtaa.com,25000,0,weekly status update
E0004,2010-01-07 14:24:00,DEMO001,PC-001,demo002@dtaa.com,,,demo001@dtaa.com,25000,0,weekly status update
E0005,2010-01-08 14:25:00,DEMO001,PC-001,demo002@dtaa.com,,,demo001@dtaa.com,25000,0,weekly status update
E0006,2010-01-04 14:26:00,DEMO002,PC-002,demo003@dtaa.com,,,demo002@dtaa.com,25000,0,weekly status update
E0007,2010-01-05 14:27:00,DEMO002,PC-002,demo003@dtaa.com,,,demo002@dtaa.com,25000,0,weekly status update
E0008,2010-01-06 14:28:00,DEMO002,PC-002,demo003@dtaa.com,,,demo002@dtaa.com,25000,0,weekly status update
E0009,2010-01-07 14:29:00,DEMO002,PC-002,demo003@dtaa.com,,,demo002@dtaa.com,25000,0,weekly status update
E0010,2010-01-08 14:30:00,DEMO002,PC-002,demo003@dtaa.com,,,demo002@dtaa.com,25000,0,weekly status update
E0011,2010-01-04 14:31:00,DEMO003,PC-003,demo004@dtaa.com,,,demo003@dtaa.com,25000,0,weekly status update
E0012,2010-01-05 14:32:00,DEMO003,PC-003,demo004@dtaa.com,,,demo003@dtaa.com,25000,0,weekly status update
E0013,2010-01-06 14:33:00,DEMO003,PC-003,demo004@dtaa.com,,,demo003@dtaa.com,25000,0,weekly status update
E0014,2010-01-07 14:34:00,DEMO003,PC-003,demo004@dtaa.com,,,demo003@dtaa.com,25000,0,weekly status update
E0015,2010-01-08 14:35:00,DEMO003,PC-003,demo004@dtaa.com,,,demo003@dtaa.com,25000,0,weekly status update
E0016,2010-01-04 14:36:00,DEMO004,PC-004,demo_ins01@dtaa.com,,,demo004@dtaa.com,25000,0,weekly status update
E0017,2010-01-05 14:37:00,DEMO004,PC-004,demo_ins01@dtaa.com,,,demo004@dtaa.com,25000,0,weekly status update
E0018,2010-01-06 14:38:00,DEMO004,PC-004,demo_ins01@dtaa.com,,,demo004@dtaa.com,25000,0,weekly status update
E0019,2010-01-07 14:39:00,DEMO004,PC-004,demo_ins01@dtaa.com,,,demo004@dtaa.com,25000,0,weekly status update
E0020,2010-01-08 14:40:00,DEMO004,PC-004,demo_ins01@dtaa.com,,,demo004@dtaa.com,25000,0,weekly status update
E0021,2010-01-04 14:41:00,DEMO_INS01,PC-005,demo001@dtaa.com,,,demo_ins01@dtaa.com,25000,0,weekly status update
E0022,2010-01-05 14:42:00,DEMO_INS01,PC-005,demo001@dtaa.com,,,demo_ins01@dtaa.com,25000,0,weekly status update
E0023,2010-01-06 14:43:00,DEMO_INS01,PC-005,demo001@dtaa.com,,,demo_ins01@dtaa.com,25000,0,weekly status update
E0024,2010-01-07 14:44:00,DEMO_INS01,PC-005,demo001@dtaa.com,,,demo_ins01@dtaa.com,25000,0,weekly status update
E0025,2010-01-08 14:45:00,DEMO_INS01,PC-005,demo001@dtaa.com,,,demo_ins01@dtaa.com,25000,0,weekly status update
E0026,2010-01-11 23:40:00,DEMO_INS01,PC-005,outside.party@gmail.com,,,demo_ins01@dtaa.com,4500000,2,files attached
E0027,2010-01-12 23:40:00,DEMO_INS01,PC-005,outside.party@gmail.com,,,demo_ins01@dtaa.com,4500000,2,files attached
E0028,2010-01-13 23:40:00,DEMO_INS01,PC-005,outside.party@gmail.com,,,demo_ins01@dtaa.com,4500000,2,files attached
